Este,Norte,Cota,Codigo,Descripcion
500000.000,9000000.000,150.500,PV-1,Vértice principal 1
500025.500,9000012.300,151.200,PV-2,Vértice principal 2
500050.250,9000025.100,152.800,PV-3,Vértice principal 3
500075.800,9000040.500,154.300,PV-4,Vértice principal 4
500100.000,9000060.000,156.100,PV-5,Vértice principal 5
500120.500,9000085.200,158.500,PV-6,Vértice principal 6
500135.750,9000110.800,160.200,PV-7,Vértice principal 7
500145.200,9000140.500,162.800,PV-8,Vértice principal 8
500150.000,9000175.000,165.500,PV-9,Vértice principal 9
500148.500,9000210.300,168.200,PV-10,Vértice principal 10
500140.200,9000245.800,170.800,PV-11,Vértice principal 11
500125.800,9000280.500,173.500,PV-12,Vértice principal 12
500105.500,9000312.200,176.200,PV-13,Vértice principal 13
500080.200,9000340.800,178.800,PV-14,Vértice principal 14
500050.800,9000365.500,181.500,PV-15,Vértice principal 15
500018.500,9000385.200,184.200,PV-16,Vértice principal 16
499985.200,9000400.800,186.800,PV-17,Vértice principal 17
499950.800,9000410.500,189.500,PV-18,Vértice principal 18
499915.500,9000415.200,192.200,PV-19,Vértice principal 19
499880.200,9000415.800,194.800,PV-20,Vértice principal 20
